bsr,basin,species,life_stage,LS_corrected_score_source,LS_corrected_score,species_aggregate_score,fish_use_score,population_priority,condition_vulnerability_sum,vulnerability_review_flag,impact_score,risk_score,risk_rank_within_bsr,species_life_stage_label
UGR13,Upper Grande Ronde,Chinook,Summer Rearing,0.51,0.14206128133704737,0.33,0.2831,0.24,4.819628464285714,No,0.6846825952049344,0.16432382284918423,5,Chinook | Summer Rearing
UGR13,Upper Grande Ronde,Chinook,Winter Rearing,0.41,0.11420612813370473,0.33,0.2831,0.34,4.749607178571429,No,0.5424342460206925,0.18442764364703546,4,Chinook | Winter Rearing
UGR13,Upper Grande Ronde,Steelhead,Migration,0.43,0.11977715877437327,0.84,0.2831,0.25,5.211123964285714,No,0.6241736224631914,0.15604340561579785,6,Steelhead | Migration
UGR13,Upper Grande Ronde,Steelhead,Spawning,1.03,0.28690807799442897,0.84,0.2831,0.25,5.0221241249999995,No,1.4408879801532033,0.3602219950383008,1,Steelhead | Spawning
UGR13,Upper Grande Ronde,Steelhead,Summer Rearing,1.05,0.2924791086350975,0.84,0.2831,0.25,4.487794607142857,No,1.3125861664345404,0.3281465416086351,2,Steelhead | Summer Rearing
UGR13,Upper Grande Ronde,Steelhead,Winter Rearing,0.87,0.24233983286908078,0.84,0.2831,0.25,4.7165429464285715,No,1.143006229357342,0.2857515573393355,3,Steelhead | Winter Rearing
UGR14,Upper Grande Ronde,Bull Trout,FMO,0.99,0.2757660167130919,1.73,0.7206,0.4,2.5157570357142855,Yes,0.6937602967568642,0.2775041187027457,2,Bull Trout | FMO
UGR14,Upper Grande Ronde,Bull Trout,Spawning & Resident,2.22,0.6183844011142062,1.73,0.7206,0.6,2.7746084464285716,Yes,1.7157745824711503,1.02946474948269,1,Bull Trout | Spawning & Resident
UGR14,Upper Grande Ronde,Chinook,Migration,0.01,0.002785515320334262,0.56,0.7206,0.34,3.1066685892857144,No,0.008653672950656586,0.0029422488032232394,10,Chinook | Migration
UGR14,Upper Grande Ronde,Chinook,Spawning,0.78,0.21727019498607245,0.56,0.7206,0.08,2.2527051964285714,No,0.4894456972741743,0.039155655781933946,8,Chinook | Spawning
UGR14,Upper Grande Ronde,Chinook,Summer Rearing,1.03,0.28690807799442897,0.56,0.7206,0.24,2.5687874464285714,No,0.7370058690310386,0.17688140856744924,5,Chinook | Summer Rearing
UGR14,Upper Grande Ronde,Chinook,Winter Rearing,0.41,0.11420612813370473,0.56,0.7206,0.34,2.539895357142857,No,0.2900716146040589,0.09862434896538003,7,Chinook | Winter Rearing
UGR14,Upper Grande Ronde,Steelhead,Migration,0.11,0.030640668523676882,0.69,0.7206,0.25,3.1512274285714286,No,0.09655571508157582,0.024138928770393954,9,Steelhead | Migration
UGR14,Upper Grande Ronde,Steelhead,Spawning,1.03,0.28690807799442897,0.69,0.7206,0.25,2.5428848035714284,No,0.7295741915539196,0.1823935478884799,4,Steelhead | Spawning
