bsr,basin,bsr_crosswalk_status,species,life_stage,LS_corrected_score_source,species_aggregate_score,fish_use_score,LS_corrected_score
UGR9,Upper Grande Ronde,exact_identifier,Bull Trout,Spawning & Resident,0.0,0.2,0.3184,0.0
UGR9,Upper Grande Ronde,exact_identifier,Bull Trout,FMO,0.49,0.2,0.3184,0.13649025069637882
UGR10,Upper Grande Ronde,exact_identifier,Chinook,Spawning,0.0,0.27,0.2541,0.0
UGR10,Upper Grande Ronde,exact_identifier,Chinook,Winter Rearing,0.41,0.27,0.2541,0.11420612813370473
UGR10,Upper Grande Ronde,exact_identifier,Chinook,Summer Rearing,0.51,0.27,0.2541,0.14206128133704737
UGR10,Upper Grande Ronde,exact_identifier,Chinook,Migration,0.0,0.27,0.2541,0.0
UGR10,Upper Grande Ronde,exact_identifier,Steelhead,Spawning,1.03,0.78,0.2541,0.28690807799442897
UGR10,Upper Grande Ronde,exact_identifier,Steelhead,Winter Rearing,0.87,0.78,0.2541,0.24233983286908078
UGR10,Upper Grande Ronde,exact_identifier,Steelhead,Summer Rearing,1.05,0.78,0.2541,0.2924791086350975
UGR10,Upper Grande Ronde,exact_identifier,Steelhead,Migration,0.17,0.78,0.2541,0.04735376044568246
UGR10,Upper Grande Ronde,exact_identifier,Bull Trout,Spawning & Resident,0.0,0.0,0.2541,0.0
UGR10,Upper Grande Ronde,exact_identifier,Bull Trout,FMO,0.0,0.0,0.2541,0.0
UGR11,Upper Grande Ronde,exact_identifier,Chinook,Spawning,0.0,0.83,0.4504,0.0
UGR11,Upper Grande Ronde,exact_identifier,Chinook,Winter Rearing,1.25,0.83,0.4504,0.34818941504178275
UGR11,Upper Grande Ronde,exact_identifier,Chinook,Summer Rearing,0.51,0.83,0.4504,0.14206128133704737
UGR11,Upper Grande Ronde,exact_identifier,Chinook,Migration,1.24,0.83,0.4504,0.34540389972144847
UGR11,Upper Grande Ronde,exact_identifier,Steelhead,Spawning,0.34,0.64,0.4504,0.09470752089136492
UGR11,Upper Grande Ronde,exact_identifier,Steelhead,Winter Rearing,0.87,0.64,0.4504,0.24233983286908078
UGR11,Upper Grande Ronde,exact_identifier,Steelhead,Summer Rearing,0.0,0.64,0.4504,0.0
UGR11,Upper Grande Ronde,exact_identifier,Steelhead,Migration,1.36,0.64,0.4504,0.37883008356545966
UGR11,Upper Grande Ronde,exact_identifier,Bull Trout,Spawning & Resident,0.0,0.4,0.4504,0.0
UGR11,Upper Grande Ronde,exact_identifier,Bull Trout,FMO,0.99,0.4,0.4504,0.2757660167130919
UGR12,Upper Grande Ronde,exact_identifier,Chinook,Spawning,0.0,0.27,0.2281,0.0
